"Date","Location","Category","SubCategory","kasus","sembuh","perawatan","meninggal"
"2021-12-16","Nasional","kondisi_penyerta","HIPERTENSI",49.916499665998664,40.76486305945224,,9.452237808951235
"2021-12-16","Nasional","kondisi_penyerta","DIABETES MELITUS",36.95724782899132,27.505010020040082,,9.151636606546425
"2021-12-16","Nasional","kondisi_penyerta","PENYAKIT JANTUNG",16.783567134268537,12.007348029392118,,4.77621910487642
"2021-12-16","Nasional","kondisi_penyerta","HAMIL",10.220440881763528,10.036740146960588,,2.0207080828323316
"2021-12-16","Nasional","kondisi_penyerta","PENYAKIT PARU OBSTRUKTIF KRONIS",4.926519706078825,3.6907147628590513,,1.2358049432197729
"2021-12-16","Nasional","kondisi_penyerta","PENYAKIT GINJAL",4.692718770875084,2.7054108216432864,,0.501002004008016
"2021-12-16","Nasional","kondisi_penyerta","GANGGUAN IMUN",3.173012692050768,2.6720106880427523,,0.46760187040748163
"2021-12-16","Nasional","kondisi_penyerta","KANKER",1.8537074148296595,1.3527054108216432,,0.43420173680694724
"2021-12-16","Nasional","kondisi_penyerta","GANGGUAN NAPAS LAIN",1.4362057448229792,1.002004008016032,,0.18370073480293922
"2021-12-16","Nasional","kondisi_penyerta","ASMA",0.7682030728122912,0.6346025384101536,,0.15030060120240482
"2021-12-16","Nasional","kondisi_penyerta","TBC",0.46760187040748163,0.3173012692050768,,0.13360053440213762
"2021-12-16","Nasional","kondisi_penyerta","PENYAKIT HATI",0.45090180360721444,0.3173012692050768,,0.13360053440213762
"2021-12-16","Nasional","gejala","BATUK",64.8964065442996,60.37596484100898,0.018465856631089118,4.53152121726927
"2021-12-16","Nasional","gejala","RIWAYAT DEMAM",44.676293533257,41.1936329726336,0.018465856631089118,4.501975846659526
"2021-12-16","Nasional","gejala","DEMAM",39.14761605790893,36.37035122059312,0.01107951397865347,3.490046903275843
"2021-12-16","Nasional","gejala","PILEK",37.84392657975403,35.639103298002,0.01107951397865347,3.471581046644754
"2021-12-16","Nasional","gejala","LEMAS",25.25021235735126,22.225505041178863,0.007386342652435646,3.0173209735199618
"2021-12-16","Nasional","gejala","SAKIT TENGGOROKAN",23.477490120766703,21.889426450493037,0.007386342652435646,1.6471544114931493
"2021-12-16","Nasional","gejala","SAKIT KEPALA",23.39993352291613,21.745392768770543,0.007386342652435646,1.5806773276212283
"2021-12-16","Nasional","gejala","SESAK NAPAS",21.3428370942128,16.803929534291097,0.007386342652435646,1.462495845182258
"2021-12-16","Nasional","gejala","KERAM OTOT",14.654503822432321,13.601949994460243,,1.2076670236732283
"2021-12-16","Nasional","gejala","MUAL",11.07951397865347,9.871846954980242,,1.0525538279720796
"2021-12-16","Nasional","gejala","SAKIT PERUT",5.0153266610038045,4.3099309376962,,0.7053957233076042
"2021-12-16","Nasional","gejala","DIARE",4.756804668168557,4.261919710455368,,0.4948849577131883
"2021-12-16","Nasional","gejala","MENGGIGIL",1.3443143627432876,1.1005650552129114,,0.24374930753037635
"2021-12-16","Nasional","gejala","LAIN-LAIN",0.040624884588396054,0.029545370609742584,,0.01107951397865347
"2021-12-16","Nasional","kelompok_umur","0-5",2.901067951442169,2.9866595169778463,2.559055118110236,0.4781942042582389
"2021-12-16","Nasional","kelompok_umur","6-18",10.186854719020225,10.525096268674156,11.435218324982104,0.5104005489081349
"2021-12-16","Nasional","kelompok_umur","19-30",24.779240516182067,25.551618580499795,21.080887616320688,2.939179018266598
"2021-12-16","Nasional","kelompok_umur","31-45",28.677588397531768,29.238103085886046,24.58840372226199,12.883237997885583
"2021-12-16","Nasional","kelompok_umur","46-59",21.61867189765588,21.09850213199293,22.029348604151757,36.40857248878029
"2021-12-16","Nasional","kelompok_umur","≥ 60",11.836576518167895,10.600020415969222,18.30708661417323,46.78041574190115
"2021-12-16","Nasional","jenis_kelamin","LAKI-LAKI",48.719758232299576,48.590013459892134,51.63597353835151,52.30974914681772
"2021-12-16","Nasional","jenis_kelamin","PEREMPUAN",51.28024176770043,51.409986540107866,48.36402646164849,47.69025085318228
